Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
P.Skenes u1.5 Earned Runs,LinesAtLunch,-130,1.3,2.3,Pittsburgh Pirates,P.Skenes,Miami Marlins,1.0,0.9999999999999998,Y,0.5263157894736842,1,0.4,0,0.4,0
C.Sanchez o1.5 earned runs,Rotowire,100,0.75,1.5,Philadelphia Phillies,C.Sanchez,Tampa Bay Rays,1.0,0.75,N,0.5555555555555556,1,0.8,1,0.8,1
B.Singer u2.5 BB,SBK5065,-160,1.0,1.625,Kansas City Royals,B.Singer,New York Yankees,0.0,0.625,N,0.8571428571428571,1,1.0,1,1.0,1
N.Martinez u1.5 BB,SBK5065,-125,1.0,1.8,Cincinnati Reds,N.Martinez,Atlanta Braves,0.0,0.8,Y,0.8333333333333334,1,0.6,1,0.8,1
A.Gimenez o1.5 hits+runs+rbi,Rotowire,100,0.75,1.5,Cleveland Guardians,A.Gimenez,Chicago White Sox,0.0,0.75,N,0.4661654135338345,0,0.8,1,0.7,1
J.Bride o0.5 hits+runs+rbi,Rotowire,100,0.75,1.5,Miami Marlins,J.Bride,Pittsburgh Pirates,0.0,0.75,Y,0.7291666666666666,1,0.8,1,0.8,1
C.Rodon o6.5 Ks,rsura_,-118,1.18,2.18,New York Yankees,C.Rodon,Kansas City Royals,1.0,0.9999999999999998,Y,0.4285714285714285,0,0.4,0,0.6,1
R.Burr o1.5 Ks,MoneylineHacks,110,1.0,2.1,Toronto Blue Jays,R.Burr,New York Mets,1.0,1.1,Y,1.0,1,1.0,1,1.0,1
G.Conine o0.5 Hits,MoneylineHacks,-105,1.0,1.9523809523809523,Miami Marlins,G.Conine,Pittsburgh Pirates,0.0,0.9523809523809524,N,0.5833333333333334,1,0.6,1,0.6,1
W.Buehler u15.5 Outs,SBK5065,-131,1.0,1.763358778625954,Los Angeles Dodgers,W.Buehler,Chicago Cubs,1.0,0.7633587786259541,Y,0.75,1,1.0,1,0.7,1
S.Ohtani o1.5 total bases,Rotowire,100,0.75,1.5,Los Angeles Dodgers,S.Ohtani,Chicago Cubs,1.0,0.75,Y,0.5579710144927537,1,0.6,1,0.6,1
M.Wallner o0.5 total bases,Rotowire Prizepicks,100,1.5,3.0,Minnesota Twins,M.Wallner,Los Angeles Angels,1.0,1.5,N,0.5573770491803278,1,0.8,1,0.6,1
