,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,S.Ohtani o1.5 Total Bases,theprophunter0_,-140,1.4,S.Ohtani,2.4,1.0,Los Angeles Dodgers,Seattle Mariners,1.0,0.5537190082644629,1.0,0.4,0.0,0.5,0.0,Y
1,M.Betts o0.5 HR,gneiffer07,500,0.25,M.Betts,1.5,1.25,Los Angeles Dodgers,Seattle Mariners,1.0,0.141025641025641,0.0,0.2,0.0,0.2,0.0,N
2,J.Rodriguez o1.5 Hits + Runs + RBIs,MJCLocks,-130,1.3,J.Rodriguez,2.3,0.9999999999999998,Seattle Mariners,Los Angeles Dodgers,0.0,0.4903846153846153,0.0,0.8,1.0,0.5,0.0,N
3,R.Lewis o0.5 HR,gneiffer07,420,0.25,R.Lewis,1.3,1.05,Minnesota Twins,San Diego Padres,0.0,0.3191489361702128,0.0,0.0,0.0,0.1,0.0,N
4,B.Harper o1.5 Total Bases,charliedisturco,115,0.5,B.Harper,1.075,0.575,Philadelphia Phillies,Atlanta Braves,0.0,0.4166666666666667,0.0,0.4,0.0,0.5,0.0,N
5,B.Harper o0.5 HR,charliedisturco,475,0.1,B.Harper,0.5750000000000001,0.4750000000000001,Philadelphia Phillies,Atlanta Braves,0.0,0.2129629629629629,0.0,0.0,0.0,0.1,0.0,N
6,J.Naylor o1.5 Total Bases,theprophunter0_,150,1.0,J.Naylor,2.5,1.5,Cleveland Guardians,New York Yankees,0.0,0.417391304347826,0.0,0.4,0.0,0.4,0.0,N
7,L.Gil u5.5 Ks,PlayerPropSavant,-130,1.0,L.Gil,1.7692307692307692,0.7692307692307692,New York Yankees,Cleveland Guardians,1.0,0.3333333333333333,0.0,0.2,0.0,0.4,0.0,Y
8,J.Soto o0.5 HR,gneiffer07,480,1.0,J.Soto,5.8,4.8,New York Yankees,Cleveland Guardians,1.0,0.2148760330578512,0.0,0.4,0.0,0.3,0.0,Y
9,V.Guerrero o4.5 Total Bases,theprophunter0_,500,0.2,V.Guerrero,1.2000000000000002,1.0000000000000002,Toronto Blue Jays,Cincinnati Reds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
10,V.Guerrero o3.5 Total Bases,theprophunter0_,280,0.5,V.Guerrero,1.9,1.4,Toronto Blue Jays,Cincinnati Reds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
11,V.Guerrero o1.5 Total Bases,theprophunter0_,-115,1.15,V.Guerrero,2.1499999999999995,0.9999999999999996,Toronto Blue Jays,Cincinnati Reds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
12,C.Spiers u4.5 Ks,PlayerPropSavant,-135,1.0,C.Spiers,1.7407407407407407,0.7407407407407407,Cincinnati Reds,Toronto Blue Jays,0.0,0.375,0.0,0.4,0.0,0.375,0.0,Y
13,R.Blanco u5.5 Ks,sirlockselot_,125,2.0,R.Blanco,4.5,2.5,Houston Astros,Boston Red Sox,1.0,0.5217391304347826,1.0,0.6,1.0,0.7,1.0,N
14,E.Cabrera u15.5 Outs,PlayerPropSavant,-155,1.0,E.Cabrera,1.6451612903225803,0.6451612903225805,Miami Marlins,Arizona Diamondbacks,1.0,0.8333333333333334,1.0,0.8,1.0,0.9,1.0,N
15,E.Cabrera o1.5 Earned Runs,SBK5065,-169,1.0,E.Cabrera,1.5917159763313609,0.5917159763313609,Miami Marlins,Arizona Diamondbacks,1.0,0.6666666666666666,1.0,0.4,0.0,0.7,1.0,Y
16,E.Rodriguez o4.5 Ks,Markus_Markets,-120,1.0,E.Rodriguez,1.8333333333333333,0.8333333333333335,Arizona Diamondbacks,Miami Marlins,0.0,0.5,0.0,0.5,0.0,0.5,0.0,Y
17,B.Witt o1.5 Total Bases,theprophunter0_,-140,1.4,B.Witt,2.4,1.0,Kansas City Royals,Los Angeles Angels,1.0,0.008,0.0,0.0,0.0,0.0,0.0,N
18,C.Ragans o6.5 Ks,PlayerPropSavant,-135,1.0,C.Ragans,1.7407407407407407,0.7407407407407407,Kansas City Royals,Los Angeles Angels,1.0,0.64,1.0,0.6,1.0,0.7,1.0,Y
19,C.Ragans o6.5 Ks,PropBetGuy,-135,1.35,C.Ragans,2.35,1.0,Kansas City Royals,Los Angeles Angels,1.0,0.64,1.0,0.6,1.0,0.7,1.0,Y
