,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,Y.Kikuchi u5.5 Ks,sirlockselot_,130,2.0,Y.Kikuchi,4.6,2.6,Houston Astros,Baltimore Orioles,0.0,0.25,0.0,0.25,0.0,0.25,0.0,Y
1,Y.Kikuchi u16.5 Outs,PropBetGuy,-120,1.2,Y.Kikuchi,2.2,1.0000000000000002,Houston Astros,Baltimore Orioles,0.0,0.25,0.0,0.25,0.0,0.25,0.0,N
2,S.Ohtani o1.5 Total Bases,theprophunter0_,-110,1.1,S.Ohtani,2.1,1.0,Los Angeles Dodgers,Tampa Bay Rays,1.0,0.56,1.0,0.6,1.0,0.5,0.0,N
3,M.Betts o1.5 Total Bases,sandyplashkes,-110,1.1,M.Betts,2.1,1.0,Los Angeles Dodgers,Tampa Bay Rays,1.0,0.4390243902439024,0.0,0.6,1.0,0.5,0.0,Y
4,F.Lindor o1.5 Total Bases,moneybadger24_,-105,1.05,F.Lindor,2.05,0.9999999999999998,New York Mets,San Diego Padres,0.0,0.4615384615384615,0.0,1.0,1.0,0.7,1.0,N
5,B.Woo u1.5 Earned Runs,PlayerPropSavant,-102,1.02,B.Woo,2.02,1.0,Seattle Mariners,San Francisco Giants,1.0,0.6,1.0,0.6,1.0,0.5,0.0,Y
6,R.Ray o6.5 Ks,PropBetGuy,-125,1.25,R.Ray,2.25,1.0,San Francisco Giants,Seattle Mariners,0.0,0.6,1.0,0.6,1.0,0.6,1.0,N
7,J.Soto o1.5 Total Bases,theprophunter0_,110,1.05,J.Soto,2.205,1.155,New York Yankees,Colorado Rockies,1.0,0.4285714285714285,0.0,0.4,0.0,0.4,0.0,Y
8,J.Soto o1.5 Total Bases,MJCLocks,115,0.98,J.Soto,2.107,1.1269999999999998,New York Yankees,Colorado Rockies,1.0,0.4285714285714285,0.0,0.4,0.0,0.4,0.0,Y
9,N.Martinez o4.5 Ks,charliedisturco,170,0.25,N.Martinez,0.675,0.425,Cincinnati Reds,Pittsburgh Pirates,0.0,0.3333333333333333,0.0,0.4,0.0,0.3333333333333333,0.0,N
10,N.Martinez o3.5 Ks,charliedisturco,-127,0.64,N.Martinez,1.1439370078740156,0.5039370078740156,Cincinnati Reds,Pittsburgh Pirates,0.0,0.4444444444444444,0.0,0.6,1.0,0.4444444444444444,0.0,N
11,N.Martinez o3.5 Ks,PropBetGuy,-130,1.3,N.Martinez,2.3,0.9999999999999998,Cincinnati Reds,Pittsburgh Pirates,0.0,0.4444444444444444,0.0,0.6,1.0,0.4444444444444444,0.0,N
12,N.Martinez u15.5 Outs,SBK5065,-133,1.0,N.Martinez,1.7518796992481205,0.7518796992481203,Cincinnati Reds,Pittsburgh Pirates,0.0,0.6666666666666666,1.0,0.6,1.0,0.6666666666666666,1.0,Y
13,N.Martinez u1.5 BB,SBK5065,-165,0.61,N.Martinez,0.9796969696969696,0.3696969696969696,Cincinnati Reds,Pittsburgh Pirates,0.0,0.8888888888888888,1.0,0.8,1.0,0.8888888888888888,1.0,Y
14,S.Lugo u6.5 Hits Allowed,JBBets1,-155,1.0,S.Lugo,1.6451612903225803,0.6451612903225805,Kansas City Royals,Philadelphia Phillies,1.0,0.7692307692307693,1.0,0.8,1.0,0.8,1.0,N
15,T.Houck o1.5 BB,PropBetGuy,-130,1.0,T.Houck,1.7692307692307692,0.7692307692307692,Boston Red Sox,Arizona Diamondbacks,1.0,0.52,1.0,0.8,1.0,0.7,1.0,Y
16,M.Kelly u16.5 Outs,PlayerPropSavant,-120,1.2,M.Kelly,2.2,1.0000000000000002,Arizona Diamondbacks,Boston Red Sox,0.0,0.5,0.0,0.6,1.0,0.5,0.0,N
17,V.Guerrero o1.5 Total Bases,theprophunter0_,-105,1.0,V.Guerrero,1.9523809523809523,0.9523809523809524,Toronto Blue Jays,Los Angeles Angels,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
18,V.Guerrero o1.5 Total Bases,JBBets1,105,1.05,V.Guerrero,2.1525,1.1024999999999998,Toronto Blue Jays,Los Angeles Angels,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
19,T.Anderson u18.5 Outs,SBK5065,-180,0.69,T.Anderson,1.0733333333333333,0.3833333333333333,Los Angeles Angels,Toronto Blue Jays,0.0,0.56,1.0,0.8,1.0,0.8,1.0,Y
21,J.Soler o1.5 Total Bases,theprophunter0_,110,1.0,J.Soler,2.1,1.1,Atlanta Braves,Washington Nationals,1.0,0.2941176470588235,0.0,0.0,0.0,0.4,0.0,N
22,D.Herz u15.5 Outs,SBK5065,-139,0.72,D.Herz,1.2379856115107912,0.5179856115107913,Washington Nationals,Atlanta Braves,0.0,0.7142857142857143,1.0,0.6,1.0,0.7,1.0,Y
23,C.Bradford u17.5 Outs,PlayerPropSavant,-110,1.1,C.Bradford,2.1,1.0,Texas Rangers,Cleveland Guardians,0.0,0.4285714285714285,0.0,0.4,0.0,0.4285714285714285,0.0,N
24,J.Burger o1.5 Total Bases,theprophunter0_,110,1.1,J.Burger,2.3100000000000005,1.2100000000000004,Miami Marlins,Chicago Cubs,1.0,0.4380952380952381,0.0,0.4,0.0,0.6,1.0,Y
25,Z.Matthews u1.5 BB,SBK5065,-140,1.0,Z.Matthews,1.7142857142857144,0.7142857142857144,Minnesota Twins,St Louis Cardinals,1.0,0.5,0.0,0.5,0.0,0.5,0.0,Y
26,Y.Kikuchi o5.5 strikeouts,Rotowire,100,0.75,Y.Kikuchi,1.5,0.75,Houston Astros,Baltimore Orioles,0.0,0.75,1.0,0.75,1.0,0.75,1.0,N
27,D.Kremer o4.5 strikeouts,Rotowire Prizepicks,100,1.5,D.Kremer,3.0,1.5,Baltimore Orioles,Houston Astros,1.0,0.5,0.0,0.6,1.0,0.4,0.0,Y
28,Y.Kikuchi o6.5 strikeouts,Rotowire Prizepicks,100,1.5,Y.Kikuchi,3.0,1.5,Houston Astros,Baltimore Orioles,0.0,0.75,1.0,0.75,1.0,0.75,1.0,N
