,Play,Expert,Odds,Units,Payout,Team,Name,Opponent,Hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,M.Vientos o1.5 Hits + Runs + RBIs,MJCLocks,-125,1.25,2.25,New York Mets,M.Vientos,Chicago White Sox,0.0,1.0,Y,0.5411764705882353,1,0.6,1,0.7,1
1,G.Perdomo o0.5 hits+runs+rbi,Rotowire,100,0.75,1.5,Arizona Diamondbacks,G.Perdomo,Los Angeles Dodgers,1.0,0.75,N,0.7857142857142857,1,0.8,1,0.8,1
2,T.Casas o0.5 hits+runs+rbi,Rotowire,100,0.75,1.5,Boston Red Sox,T.Casas,Detroit Tigers,0.0,0.75,N,0.6944444444444444,1,0.6,1,0.7,1
3,C.Carroll o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,3.0,Arizona Diamondbacks,C.Carroll,Los Angeles Dodgers,1.0,1.5,Y,0.5546875,1,0.8,1,0.7,1
4,G.Mitchell o0.5 hits+runs+rbi,Rotowire,100,0.75,1.5,Milwaukee Brewers,G.Mitchell,Cincinnati Reds,0.0,0.75,Y,0.7272727272727273,1,1.0,1,0.9,1
5,J.Meyers o0.5 hits+runs+rbi,Rotowire,100,0.75,1.5,Houston Astros,J.Meyers,Kansas City Royals,1.0,0.75,N,0.6324786324786325,1,0.8,1,0.8,1
6,R.Urias o1.5 hits+runs+rbi,Rotowire,100,0.75,1.5,Baltimore Orioles,R.Urias,Colorado Rockies,0.0,0.75,N,0.3411764705882353,0,0.8,1,0.6,1
7,A.Rendon o0.5 hits+runs+rbi,Rotowire,100,0.75,1.5,Los Angeles Angels,A.Rendon,Seattle Mariners,1.0,0.75,Y,0.68,1,0.6,1,0.6,1
8,M.Moniak o0.5 hits+runs+rbi,Rotowire,100,0.75,1.5,Los Angeles Angels,M.Moniak,Seattle Mariners,1.0,0.75,Y,0.5904761904761905,1,0.6,1,0.7,1
9,R.Arozarena o1.5 hits+runs+rbi,Rotowire Prizepicks,100,1.5,3.0,Seattle Mariners,R.Arozarena,Los Angeles Angels,0.0,1.5,N,0.5517241379310345,1,0.8,1,0.6,1
10,M.Garver o0.5 hits+runs+rbi,Rotowire,100,0.75,1.5,Seattle Mariners,M.Garver,Los Angeles Angels,0.0,0.75,N,0.49,0,0.2,0,0.4,0
