Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
J.Steele o5.5 Ks,rsura_,Chicago Cubs,J.Steele,Oakland Athletics,1,0.5909090909090909,1,0.8,1,0.7,1,-110,1.1,2.1,1.0
J.Steele o5.5 Ks,LinesAtLunch,Chicago Cubs,J.Steele,Oakland Athletics,1,0.5909090909090909,1,0.8,1,0.7,1,-110,1.1,2.1,1.0
A.Gomber o3.5 strikeouts,Rotowire Prizepicks,Colorado Rockies,A.Gomber,Arizona Diamondbacks,1,0.6428571428571429,1,1.0,1,0.9,1,100,1.5,3.0,1.5
S.Schwellenbach o5.5 Ks,PlayerPropSavant,Atlanta Braves,S.Schwellenbach,Cincinnati Reds,0,0.6666666666666666,1,0.6,1,0.8,1,-113,1.13,2.13,1.0
S.Schwellenbach o5.5 Ks,PropBetGuy,Atlanta Braves,S.Schwellenbach,Cincinnati Reds,0,0.6666666666666666,1,0.6,1,0.8,1,-110,1.1,2.1,1.0
J.Steele o5.5 Ks,sandyplashkes,Chicago Cubs,J.Steele,Oakland Athletics,1,0.5909090909090909,1,0.8,1,0.7,1,-106,1.06,2.06,1.0
S.Schwellenbach o5.5 Ks,FirefighterBets,Atlanta Braves,S.Schwellenbach,Cincinnati Reds,0,0.6666666666666666,1,0.6,1,0.8,1,-110,1.0,1.9090909090909087,0.9090909090909092
J.Steele o5.5 Ks,FirefighterBets,Chicago Cubs,J.Steele,Oakland Athletics,1,0.5909090909090909,1,0.8,1,0.7,1,-115,1.0,1.869565217391304,0.8695652173913042
D.Herz o4.5 strikeouts,Rotowire,Washington Nationals,D.Herz,New York Mets,0,0.7058823529411765,1,1.0,1,0.8,1,100,0.75,1.5,0.75
C.Sale o6.5 strikeouts,Rotowire,Atlanta Braves,C.Sale,Cincinnati Reds,0,0.7142857142857143,1,0.4,0,0.6,1,100,0.75,1.5,0.75
