Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
Y.Kikuchi u2.5 BB,Markus_Markets,-165,1.0,Y.Kikuchi,1.606060606060606,0.606060606060606,Houston Astros,Boston Red Sox,1.0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
V.Pasquantino o1.5 Hits + Runs + RBIs,MJCLocks,-130,1.3,V.Pasquantino,2.3,0.9999999999999998,Kansas City Royals,Los Angeles Angels,1.0,0.5583333333333333,1,0.8,1,0.6,1
Z.Matthews u1.5 BB,SBK5065,-175,1.5,Z.Matthews,2.357142857142857,0.8571428571428572,Minnesota Twins,San Diego Padres,0.0,1.0,1,1.0,1,1.0,1
B.Woo u1.5 BB,SBK5065,-150,1.0,B.Woo,1.6666666666666663,0.6666666666666665,Seattle Mariners,Los Angeles Dodgers,0.0,0.9285714285714286,1,1.0,1,0.9,1
T.Rogers u2.5 BB,SBK5065,-185,1.0,T.Rogers,1.5405405405405406,0.5405405405405406,Baltimore Orioles,New York Mets,0.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
V.Brujan u1.5 hits+runs+rbi,Rotowire,100,0.75,V.Brujan,1.5,0.75,Miami Marlins,Arizona Diamondbacks,1.0,0.6455696202531646,1,0.8,1,0.7,1
K.Harrison u5.5 strikeouts,Rotowire,100,0.75,K.Harrison,1.5,0.75,San Francisco Giants,Chicago White Sox,1.0,0.6666666666666666,1,0.4,0,0.7,1
C.Fulmer o2.5 strikeouts,Rotowire,100,0.75,C.Fulmer,1.5,0.75,Los Angeles Angels,Kansas City Royals,0.0,0.8333333333333334,1,0.8,1,0.8333333333333334,1
D.Dunning u5.5 strikeouts,Rotowire,100,0.75,D.Dunning,1.5,0.75,Texas Rangers,Pittsburgh Pirates,1.0,0.5384615384615384,1,0.6,1,0.6,1
T.Casas o0.5 total bases,Rotowire Prizepicks,100,1.5,T.Casas,3.0,1.5,Boston Red Sox,Houston Astros,0.0,0.64,1,0.6,1,0.6,1
S.Lugo u5.5 strikeouts,Rotowire Prizepicks,100,1.5,S.Lugo,3.0,1.5,Kansas City Royals,Los Angeles Angels,1.0,0.64,1,0.8,1,0.5,0
D.Dunning u5.5 Ks,SBK5065,-155,1.0,D.Dunning,1.6451612903225803,0.6451612903225805,Texas Rangers,Pittsburgh Pirates,1.0,0.5384615384615384,1,0.6,1,0.6,1
C.Fulmer u3.5 ks,Jason Radowitz,-184,1.0,C.Fulmer,1.5434782608695652,0.5434782608695652,Los Angeles Angels,Kansas City Royals,0.0,0.6666666666666666,1,0.8,1,0.6666666666666666,1
T.Houck u4.5 ks,Jason Radowitz,100,1.0,T.Houck,2.0,1.0,Boston Red Sox,Houston Astros,0.0,0.375,0,0.8,1,0.6,1
G.Stone u5.5 strikeouts,Rotowire,100,0.75,G.Stone,1.5,0.75,Los Angeles Dodgers,Seattle Mariners,1.0,0.6818181818181818,1,0.8,1,0.7,1
C.Fulmer u5.5 hits allowed,Rotowire,100,0.75,C.Fulmer,1.5,0.75,Los Angeles Angels,Kansas City Royals,0.0,0.8333333333333334,1,0.8,1,0.8333333333333334,1
S.Lugo o18.5 Outs,KyleJustBets,115,1.0,S.Lugo,2.15,1.15,Kansas City Royals,Los Angeles Angels,1.0,0.48,0,0.6,1,0.4,0
B.Woo o15.5 Outs,Markus_Markets,-114,1.0,B.Woo,1.8771929824561404,0.8771929824561404,Seattle Mariners,Los Angeles Dodgers,0.0,0.6428571428571429,1,0.8,1,0.6,1
J.Cannon o3.5 strikeouts,Rotowire,100,0.75,J.Cannon,1.5,0.75,Chicago White Sox,San Francisco Giants,0.0,0.5384615384615384,1,0.6,1,0.5,0
V.Pasquantino o1.5 Hits + Runs + RBIs,KyleJustBets,-150,1.0,V.Pasquantino,1.6666666666666663,0.6666666666666665,Kansas City Royals,Los Angeles Angels,1.0,0.5583333333333333,1,0.8,1,0.6,1
S.Lugo u2.5 Earned Runs,JBBets1,-165,1.0,S.Lugo,1.606060606060606,0.606060606060606,Kansas City Royals,Los Angeles Angels,1.0,0.68,1,0.4,0,0.6,1
T.Houck o4.5 strikeouts,Rotowire Prizepicks,100,1.5,T.Houck,3.0,1.5,Boston Red Sox,Houston Astros,0.0,0.625,1,0.2,0,0.4,0
B.Pfaadt u6.5 strikeouts,Rotowire,100,0.75,B.Pfaadt,1.5,0.75,Arizona Diamondbacks,Miami Marlins,0.0,0.625,1,0.6,1,0.7,1
Z.Matthews u3.5 strikeouts,Rotowire Prizepicks,100,1.5,Z.Matthews,3.0,1.5,Minnesota Twins,San Diego Padres,0.0,0.0,0,0.0,0,0.0,0
M.Vargas o0.5 hits+runs+rbi,Rotowire,100,0.75,M.Vargas,1.5,0.75,Chicago White Sox,San Francisco Giants,0.0,0.5,0,0.6,1,0.6,1
B.Rooker o0.5 Runs Scored,sirlockselot_,140,2.0,B.Rooker,4.8,2.8,Oakland Athletics,Tampa Bay Rays,1.0,0.4392523364485981,0,0.6,1,0.5,0
B.Rooker o1.5 Hits + Runs + RBIs,theprophunter0_,110,1.0,B.Rooker,2.1,1.1,Oakland Athletics,Tampa Bay Rays,1.0,0.5794392523364486,1,0.8,1,0.7,1
J.Siri u1.5 total bases,Rotowire,100,0.75,J.Siri,1.5,0.75,Tampa Bay Rays,Oakland Athletics,0.0,0.73,1,1.0,1,0.8,1
T.Rogers u3.5 strikeouts,Rotowire,100,0.75,T.Rogers,1.5,0.75,Baltimore Orioles,New York Mets,0.0,1.0,1,1.0,1,1.0,1
T.Rogers u3.5 strikeouts,Rotowire Prizepicks,100,1.5,T.Rogers,3.0,1.5,Baltimore Orioles,New York Mets,0.0,1.0,1,1.0,1,1.0,1
J.Cannon u16.5 outs,Rotowire Prizepicks,100,1.5,J.Cannon,3.0,1.5,Chicago White Sox,San Francisco Giants,0.0,0.3846153846153846,0,0.2,0,0.2,0
M.King u6.5 strikeouts,Rotowire Prizepicks,100,1.5,M.King,3.0,1.5,San Diego Padres,Minnesota Twins,1.0,0.5652173913043478,1,0.2,0,0.4,0
