,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,S.Fairchild o1.5 Hits + Runs + RBIs,Thespinzone,-105,0.25,S.Fairchild,0.4880952380952381,0.23809523809523808,Cincinnati Reds,Pittsburgh Pirates,0,0.32075471698113206,0,0.2,0,0.4,0
1,B.Falter u4.5 Ks,GreenDotDaily,-140,1.0,B.Falter,1.7142857142857144,0.7142857142857144,Pittsburgh Pirates,Cincinnati Reds,1,0.6153846153846154,1,0.4,0,0.5,0
4,J.Irvin u4.5 Ks,GreenDotDaily,-115,1.0,J.Irvin,1.8695652173913042,0.8695652173913042,Washington Nationals,Arizona Diamondbacks,1,0.42857142857142855,0,0.2,0,0.5,0
5,J.Irvin u4.5 Ks,The_Oddsmaker,-115,1.15,J.Irvin,2.1499999999999995,0.9999999999999996,Washington Nationals,Arizona Diamondbacks,1,0.42857142857142855,0,0.2,0,0.5,0
6,J.Irvin u4.5 Ks,charliedisturco,100,0.5,J.Irvin,1.0,0.5,Washington Nationals,Arizona Diamondbacks,1,0.42857142857142855,0,0.2,0,0.5,0
9,A.Nola u5.5 Ks,SBK5065,-136,1.0,A.Nola,1.7352941176470589,0.7352941176470589,Philadelphia Phillies,San Diego Padres,1,0.5714285714285714,1,0.8,1,0.5,0
16,M.Lorenzen u4.5 Ks,kylemurray03,105,0.97,M.Lorenzen,1.9884999999999997,1.0184999999999997,Texas Rangers,New York Mets,1,0.6363636363636364,1,0.6,1,0.6,1
21,M.Lorenzen u4.5 ks,Jason Radowitz,-106,1.0,M.Lorenzen,1.9433962264150944,0.9433962264150944,Texas Rangers,New York Mets,1,0.6363636363636364,1,0.6,1,0.6,1
25,J.Adell u1.5 total bases,Rotowire,100,0.75,J.Adell,1.5,0.75,Los Angeles Angels,Milwaukee Brewers,1,0.6774193548387096,1,1.0,1,0.8,1
26,D.Moore u1.5 total bases,Rotowire,100,0.75,D.Moore,1.5,0.75,Seattle Mariners,Cleveland Guardians,0,0.7457627118644068,1,1.0,1,0.9,1
27,F.Valdez u5.5 strikeouts,Rotowire,100,0.75,F.Valdez,1.5,0.75,Houston Astros,Chicago White Sox,0,0.7272727272727273,1,0.8,1,0.7,1
28,A.Nola u5.5 strikeouts,Rotowire,100,0.75,A.Nola,1.5,0.75,Philadelphia Phillies,San Diego Padres,1,0.5714285714285714,1,0.8,1,0.5,0
31,B.Falter o3.5 strikeouts,Rotowire,100,0.75,B.Falter,1.5,0.75,Pittsburgh Pirates,Cincinnati Reds,1,0.5384615384615384,1,0.8,1,0.7,1
32,T.Houck u5.5 strikeouts,Rotowire,100,0.75,T.Houck,1.5,0.75,Boston Red Sox,Toronto Blue Jays,0,0.42857142857142855,0,0.4,0,0.5,0
