Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
M.Perez o3.5 strikeouts,Rotowire,100,0.75,M.Perez,1.5,0.75,San Diego Padres,Minnesota Twins,1,1.0,1,1.0,1,1.0,1
C.Spiers u4.5 strikeouts,Rotowire,100,0.75,C.Spiers,1.5,0.75,Cincinnati Reds,Toronto Blue Jays,0,0.375,0,0.4,0,0.375,0
D.Herz u6.5 strikeouts,Rotowire,100,0.75,D.Herz,1.5,0.75,Washington Nationals,Colorado Rockies,1,0.7692307692307693,1,0.8,1,0.8,1
M.Boyd o4.5 strikeouts,Rotowire,100,0.75,M.Boyd,1.5,0.75,Cleveland Guardians,New York Yankees,0,1.0,1,1.0,1,1.0,1
R.Blanco u5.5 Ks,sirlockselot_,125,2.0,R.Blanco,4.5,2.5,Houston Astros,Boston Red Sox,1,0.5217391304347826,1,0.6,1,0.7,1
J.Berrios u5.5 strikeouts,Rotowire,100,0.75,J.Berrios,1.5,0.75,Toronto Blue Jays,Cincinnati Reds,1,0.6153846153846154,1,0.6,1,0.6,1
C.Spiers u4.5 Ks,PlayerPropSavant,-135,1.0,C.Spiers,1.7407407407407407,0.7407407407407407,Cincinnati Reds,Toronto Blue Jays,0,0.375,0,0.4,0,0.375,0
R.Blanco u5.5 strikeouts,Rotowire Prizepicks,100,1.5,R.Blanco,3.0,1.5,Houston Astros,Boston Red Sox,1,0.5217391304347826,1,0.6,1,0.7,1
J.Estes u4.5 strikeouts,Rotowire Prizepicks,100,1.5,J.Estes,3.0,1.5,Oakland Athletics,Tampa Bay Rays,1,0.5625,1,0.6,1,0.7,1
L.Gil o5.5 strikeouts,Rotowire Prizepicks,100,1.5,L.Gil,3.0,1.5,New York Yankees,Cleveland Guardians,1,0.6666666666666666,1,0.8,1,0.6,1
J.Berrios u5.5 strikeouts,Rotowire Prizepicks,100,1.5,J.Berrios,3.0,1.5,Toronto Blue Jays,Cincinnati Reds,1,0.6153846153846154,1,0.6,1,0.6,1
T.Anderson o3.5 strikeouts,Rotowire,100,0.75,T.Anderson,1.5,0.75,Los Angeles Angels,Kansas City Royals,0,0.7083333333333334,1,0.8,1,0.7,1
R.Blanco u5.5 strikeouts,Rotowire,100,0.75,R.Blanco,1.5,0.75,Houston Astros,Boston Red Sox,1,0.5217391304347826,1,0.6,1,0.7,1
F.Montas u4.5 Ks,KyleJustBets,-110,0.5,F.Montas,0.9545454545454546,0.4545454545454546,Milwaukee Brewers,St Louis Cardinals,0,0.0,0,0.0,0,0.0,0
E.Cabrera u4.5 strikeouts,Rotowire,100,0.75,E.Cabrera,1.5,0.75,Miami Marlins,Arizona Diamondbacks,1,0.5,0,0.6,1,0.6,1
Z.Wheeler u6.5 strikeouts,Rotowire Prizepicks,100,1.5,Z.Wheeler,3.0,1.5,Philadelphia Phillies,Atlanta Braves,0,0.48,0,0.4,0,0.3,0
