,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,C.Rodon u5.5 strikeouts,Chris Landers,-125,1,1.8,0.8,C.Rodon,New York Yankees,Washington Nationals,1,0.8333333333333334,1,0.8,1,0.8333333333333334,1
3,A.Rutschman o1.5 Hits,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,A.Rutschman,Baltimore Orioles,Toronto Blue Jays,1,0.25210084033613445,0,0.6,1,0.3,0
4,J.Verlander u6.5 Strikeouts,Dan Servodidio,-110,1.0,1.9090909090909092,0.9090909090909092,J.Verlander,Houston Astros,Boston Red Sox,1,1.0,1,1.0,1,1.0,1
7,N.Syndergaard u3.5 Ks,AnthonyDabbundo,+110,1.0,2.1,1.1,N.Syndergaard,Cleveland Guardians,Los Angeles Dodgers,1,1.0,1,1.0,1,1.0,1
12,G.Rodriguez u5.5 Ks,jimsannes,+124,1.0,2.24,1.2400000000000002,G.Rodriguez,Baltimore Orioles,Toronto Blue Jays,1,0.4666666666666667,0,0.6,1,0.6,1
13,A.Rutschman o1.5 Total Bases,NicholaskMartin,+145,0.75,1.8375000000000001,1.0875000000000001,A.Rutschman,Baltimore Orioles,Toronto Blue Jays,1,0.3865546218487395,0,0.6,1,0.3,0
14,K.Tucker o0.5 RBI,Thespinzone,+155,0.1,0.255,0.155,K.Tucker,Houston Astros,Boston Red Sox,1,0.45081967213114754,0,0.6,1,0.8,1
17,J.Verlander u5.5 Ks,jimsannes,+124,1.0,2.24,1.2400000000000002,J.Verlander,Houston Astros,Boston Red Sox,1,1.0,1,1.0,1,1.0,1
18,J.Verlander u5.5 Ks,PropBetGuy,+120,1.0,2.2,1.2000000000000002,J.Verlander,Houston Astros,Boston Red Sox,1,1.0,1,1.0,1,1.0,1
20,C.Blackmon o0.5 Runs Scored,Thespinzone,+128,0.1,0.22800000000000004,0.12800000000000003,C.Blackmon,Colorado Rockies,Tampa Bay Rays,0,0.5522388059701493,1,0.8,1,0.9,1
21,R.McMahon o0.5 RBI,Thespinzone,+225,0.1,0.325,0.225,R.McMahon,Colorado Rockies,Tampa Bay Rays,0,0.38333333333333336,0,0.6,1,0.8,1
22,Y.Diaz o0.5 RBI,Thespinzone,+165,0.1,0.265,0.165,Y.Diaz,Houston Astros,Boston Red Sox,1,0.4444444444444444,0,0.8,1,0.9,1
26,C.Rodon u5.5 Ks,PropBetGuy,+100,1.0,2.0,1.0,C.Rodon,New York Yankees,Washington Nationals,1,0.8333333333333334,1,0.8,1,0.8333333333333334,1
33,P.Alonso o0.5 HR,JoeDellera,+340,0.25,1.1,0.8500000000000001,P.Alonso,New York Mets,Atlanta Braves,0,0.2222222222222222,0,0.6,1,0.4,0
34,L.Giolito u6.5 Ks,jimsannes,+120,1.0,2.2,1.2000000000000002,L.Giolito,Los Angeles Angels,Cincinnati Reds,1,0.9,1,1.0,1,0.9,1
