,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
0,A.Gomber,Colorado Rockies,Cincinnati Reds,0, 5 ,7,4,4,1,5,2,4.61,97,66,41,6,19,4,13,41,-0.167,0.84,0.00,0.00,-1.4,15,711
1,H.Greene,Cincinnati Reds,Colorado Rockies,1, 6 ,2,1,1,2,10,1,3.34,97,60,33,15,12,3,6,72,0.243,0.91,0.07,0.42,2.2,18,711
2,S.Howard,Cleveland Guardians,Detroit Tigers,0, 3 ,7,4,4,3,4,1,6.33,75,46,28,6,12,5,7,30,-0.251,1.03,-0.14,0.97,-2.5,9,711
3,J.Flaherty,Detroit Tigers,Cleveland Guardians,1, 6 ,2,1,1,2,4,1,3.13,83,54,31,10,13,6,10,66,0.156,0.63,0.03,0.17,2.0,18,711
4,M.Gore,Washington Nationals,New York Mets,0, 4.2,3,4,4,3,4,0,4.01,95,59,38,12,9,3,10,43,-0.111,1.19,-0.02,0.34,-0.9,14,711
5,D.Peterson,New York Mets,Washington Nationals,1, 6 ,4,0,0,3,5,0,3.09,102,61,31,13,17,11,5,66,0.294,1.04,0.15,0.90,2.9,18,711
6,P.Skenes,Pittsburgh Pirates,Milwaukee Brewers,0, 7 ,0,0,0,1,11,0,1.90,99,65,33,10,22,7,3,87,0.471,0.91,0.18,0.57,3.6,21,711
7,A.Civale,Milwaukee Brewers,Pittsburgh Pirates,1, 6.1,6,1,1,2,6,0,4.94,100,70,41,8,21,9,11,61,0.132,1.22,0.10,1.48,1.7,19,711
8,K.Gausman,Toronto Blue Jays,San Francisco Giants,0, 7 ,6,2,2,0,3,1,4.50,98,66,43,7,16,12,12,60,0.188,0.76,0.02,0.11,1.3,21,711
9,J.Hicks,San Francisco Giants,Toronto Blue Jays,1, 4.1,8,5,5,1,1,2,3.79,88,55,33,5,17,10,9,27,-0.315,0.81,-0.12,0.52,-3.1,13,711
10,A.Banda,Los Angeles Dodgers,Philadelphia Phillies,0, 1 ,3,1,1,0,2,1,2.35,19,13,7,4,2,3,1,45,-0.057,0.75,-0.04,0.93,-0.5,3,711
11,A.Nola,Philadelphia Phillies,Los Angeles Dodgers,1, 6 ,4,1,1,2,9,1,3.38,101,65,31,15,19,5,8,67,0.246,1.14,0.09,0.72,2.0,18,711
12,J.Steele,Chicago Cubs,Baltimore Orioles,0, 7 ,3,0,0,0,4,0,2.71,70,52,34,5,13,6,14,75,0.276,0.56,0.08,0.27,3.2,21,711
13,A.Suarez,Baltimore Orioles,Chicago Cubs,1, 5 ,6,4,4,2,4,0,2.82,90,56,37,5,14,5,11,41,-0.177,0.91,-0.12,1.02,-1.7,15,711
14,N.Cortes,New York Yankees,Tampa Bay Rays,0, 4.1,7,5,5,2,4,1,3.67,97,60,29,14,17,5,11,31,-0.429,0.86,-0.30,1.02,-4.2,13,711
15,S.Baz,Tampa Bay Rays,New York Yankees,1, 4.1,6,3,3,1,5,2,5.23,68,48,30,8,10,3,11,43,-0.067,1.01,-0.02,0.39,-0.5,13,711
16,L.Medina,Oakland Athletics,Boston Red Sox,0, 5 ,7,6,6,2,7,2,5.18,94,58,36,8,14,7,7,34,-0.258,0.66,-0.00,0.00,-2.8,15,711
17,T.Houck,Boston Red Sox,Oakland Athletics,1, 6 ,2,0,0,3,6,0,2.54,103,64,31,11,22,9,4,71,0.219,0.69,0.15,0.77,3.1,18,711
18,R.Munoz,Miami Marlins,Houston Astros,0, 6.2,5,6,4,2,2,0,5.47,94,58,37,8,13,6,19,44,-0.373,0.80,-0.00,0.00,-2.7,20,711
19,J.Bloss,Houston Astros,Miami Marlins,1, 4 ,4,2,2,1,4,1,4.70,82,50,31,9,9,5,7,49,0.001,1.21,0.00,1.19,-0.1,12,711
20,L.Castillo,Seattle Mariners,Los Angeles Angels,0, 6 ,4,0,0,2,5,0,3.53,86,60,35,11,14,10,6,67,0.131,0.53,0.08,0.57,3.0,18,711
21,J.Kochanowicz,Los Angeles Angels,Seattle Mariners,1, 3 ,7,5,4,0,1,1,12.00,60,41,27,4,10,7,6,28,-0.317,0.82,-0.01,0.05,-3.5,9,711
22,M.Fried,Atlanta Braves,Arizona Diamondbacks,0, 6 ,5,1,1,3,7,1,3.08,108,65,31,12,22,10,5,62,0.162,1.06,0.10,1.13,2.0,18,711
23,B.Pfaadt,Arizona Diamondbacks,Atlanta Braves,1, 6 ,3,0,0,0,4,0,3.97,86,59,40,11,8,11,5,70,0.359,0.99,0.19,0.88,3.0,18,711
