Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
J.Montgomery,Arizona Diamondbacks,St. Louis Cardinals,0,7.0,6,3,2,1,4,0,2.08,87,62,39,6,17,8,15,58,-0.054,1.2,-0.03,1.11,0.7,21,424
K.Gibson,St Louis Cardinals,St. Louis Cardinals,0,6.0,5,1,1,2,6,0,4.35,88,54,24,12,18,7,9,62,0.209,1.25,0.09,0.87,2.1,18,424
S.Manaea,New York Mets,San Francisco Giants,0,4.2,4,0,0,4,6,0,3.33,101,58,32,11,15,2,9,58,0.211,1.24,0.12,1.21,2.1,14,424
R.Walker,San Francisco Giants,New York Mets,1,1.0,1,0,0,0,2,0,3.21,22,16,8,5,3,1,1,53,0.048,0.86,0.03,0.78,0.5,3,424
D.Kremer,Baltimore Orioles,Los Angeles Angels,0,5.1,3,2,2,1,10,1,4.61,101,66,32,16,18,2,7,63,0.271,0.8,0.19,0.91,1.6,16,424
T.Anderson,Los Angeles Angels,Baltimore Orioles,1,5.0,4,2,2,4,7,1,1.78,105,59,31,13,15,4,8,54,0.023,1.05,0.01,0.88,0.7,15,424
C.Criswell,Boston Red Sox,Cleveland Guardians,0,5.0,3,0,0,0,3,0,2.38,72,48,30,7,11,5,9,64,0.272,0.9,0.16,0.88,2.5,15,424
C.Carrasco,Cleveland Guardians,Boston Red Sox,1,5.0,9,5,5,1,4,3,4.63,89,56,35,5,16,9,10,32,-0.159,0.71,-0.11,0.83,-1.9,15,424
S.Turnbull,Philadelphia Phillies,Cincinnati Reds,0,5.0,3,1,1,3,8,1,1.33,89,49,21,10,18,4,6,62,0.208,1.05,0.14,1.2,1.7,15,424
N.Lodolo,Cincinnati Reds,Philadelphia Phillies,1,5.0,6,3,3,3,4,0,2.12,98,56,32,15,9,6,10,44,-0.078,1.11,-0.05,1.15,-0.6,15,424
B.Wilson,Milwaukee Brewers,Pittsburgh Pirates,0,4.1,3,2,2,3,3,1,3.5,75,43,26,5,12,6,7,49,0.025,0.92,0.02,1.15,0.1,13,424
J.Fleming,Pittsburgh Pirates,Milwaukee Brewers,1,2.1,1,2,0,2,1,0,1.42,39,25,15,3,7,3,3,50,0.059,1.03,0.04,1.13,0.6,7,424
L.Knack,Los Angeles Dodgers,Washington Nationals,0,6.0,3,2,2,3,5,1,3.27,94,59,31,11,17,4,12,60,0.111,0.95,0.07,1.03,1.1,18,424
J.Irvin,Washington Nationals,Los Angeles Dodgers,1,4.2,12,6,6,1,3,0,4.55,103,66,36,12,18,9,13,18,-0.355,0.97,-0.18,0.81,-3.7,14,424
J.Flaherty,Detroit Tigers,Tampa Bay Rays,0,5.0,7,4,4,0,6,1,4.91,97,65,35,15,15,9,6,43,-0.206,0.71,-0.13,0.77,-1.5,15,424
S.Armstrong,Tampa Bay Rays,Detroit Tigers,1,1.0,1,1,1,1,2,0,4.5,23,13,6,1,6,1,1,48,-0.055,1.32,-0.03,1.09,-0.5,3,424
J.Boyle,Oakland Athletics,New York Yankees,0,3.0,3,2,2,4,6,1,7.06,85,50,28,8,14,3,4,47,-0.076,0.95,-0.03,0.62,-0.4,9,424
C.Schmidt,New York Yankees,Oakland Athletics,1,5.1,4,3,3,2,6,1,3.55,92,58,33,6,19,4,9,52,0.102,0.83,0.07,0.97,-0.1,16,424
S.Sanchez,Miami Marlins,Atlanta Braves,0,2.2,5,3,3,1,3,0,7.2,59,38,29,3,6,4,4,38,-0.08,1.12,-0.01,0.34,-0.7,8,424
R.Lopez,Atlanta Braves,Miami Marlins,1,7.0,3,1,1,2,6,1,0.72,82,55,31,17,7,10,6,71,0.336,1.12,0.24,1.34,2.8,21,424
S.Arrighetti,Houston Astros,Chicago Cubs,0,3.2,7,4,4,2,7,1,10.97,90,58,27,13,18,4,7,36,-0.239,0.73,-0.07,0.34,-2.6,11,424
J.Taillon,Chicago Cubs,Houston Astros,1,5.2,7,2,1,2,4,0,1.69,89,58,37,5,16,11,9,51,0.145,1.12,0.09,1.21,0.9,17,424
Y.Rodriguez,Toronto Blue Jays,Kansas City Royals,0,4.0,6,3,3,2,2,0,3.86,69,44,26,4,14,6,10,38,-0.198,0.88,-0.12,0.89,-1.9,12,424
A.Marsh,Kansas City Royals,Toronto Blue Jays,1,4.1,2,0,0,2,1,0,2.7,67,42,26,4,12,6,8,58,0.241,1.1,0.15,1.19,2.3,13,424
G.Crochet,Chicago White Sox,Minnesota Twins,0,4.0,7,5,5,2,6,1,6.37,87,57,39,8,10,4,8,32,-0.246,0.82,-0.02,0.13,-2.6,12,424
J.Ryan,Minnesota Twins,Chicago White Sox,1,6.0,4,3,3,1,8,2,3.77,92,60,28,19,13,4,10,59,0.07,0.94,0.03,0.64,0.1,18,424
B.Miller,Seattle Mariners,Texas Rangers,0,4.0,4,2,2,4,5,2,2.22,83,49,33,6,10,1,9,47,-0.069,0.96,-0.05,1.08,-0.3,12,424
J.Gray,Texas Rangers,Seattle Mariners,1,4.2,7,1,1,1,7,0,2.92,92,62,40,10,12,7,7,52,0.086,1.14,0.06,1.26,1.0,14,424
M.Waldron,San Diego Padres,Colorado Rockies,0,6.0,4,1,1,3,5,1,3.96,91,58,28,15,15,11,6,62,0.23,0.91,0.14,0.89,2.6,18,424
T.Blach,Colorado Rockies,San Diego Padres,1,5.0,5,4,4,2,0,0,6.0,76,52,35,4,13,6,13,39,-0.172,0.77,-0.04,0.3,-1.0,15,424
