,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,L.Castillo u7.5 strikeouts,Teddy Ricketson,+105,1,2.05,1.0499999999999998,L.Castillo,Seattle Mariners,Minnesota Twins,1.0,0.6842105263157895,1,1.0,1,0.7,1
1,S.Torkelson u1.5 hits,Teddy Ricketson,-215,1,1.4651162790697674,0.4651162790697674,S.Torkelson,Detroit Tigers,Kansas City Royals,0.0,0.7717391304347826,1,0.8,1,0.8,1
2,Z.Neto o0.5 RBI,Thespinzone,+240,0.08,0.272,0.192,Z.Neto,Los Angeles Angels,New York Yankees,1.0,0.3,0,0.6,1,0.5,0
3,S.Ohtani o0.5 RBI,Thespinzone,+200,0.15,0.44999999999999996,0.29999999999999993,S.Ohtani,Los Angeles Angels,New York Yankees,1.0,0.48936170212765956,0,0.8,1,0.5,0
4,G.Torres o0.5 Runs Scored,Thespinzone,-105,0.15,0.2928571428571428,0.14285714285714282,G.Torres,New York Yankees,Los Angeles Angels,0.0,0.4631578947368421,0,0.8,1,0.6,1
8,N.Castellanos o0.5 RBI,Thespinzone,+145,0.1,0.24500000000000002,0.14500000000000002,N.Castellanos,Philadelphia Phillies,Milwaukee Brewers,1.0,0.3695652173913043,0,0.2,0,0.2,0
14,J.Verlander u6.5 Ks,SBK5065,-125,0.63,1.1340000000000001,0.5040000000000001,J.Verlander,New York Mets,Chicago White Sox,1.0,0.8461538461538461,1,1.0,1,0.9,1
17,E.Rodriguez o5.5 Ks,PropBetGuy,-125,1.25,2.25,1.0,E.Rodriguez,Detroit Tigers,Kansas City Royals,0.0,0.6153846153846154,1,0.8,1,0.8,1
19,J.Turner o0.5 Runs Scored,Thespinzone,+125,0.1,0.225,0.125,J.Turner,Boston Red Sox,Oakland Athletics,0.0,0.5,0,0.8,1,0.7,1
22,B.Bello u5.5 Ks,SBK5065,-120,0.6,1.1,0.5000000000000001,B.Bello,Boston Red Sox,Oakland Athletics,0.0,0.7333333333333333,1,0.8,1,0.7,1
24,L.Nootbaar o0.5 Runs Scored,Thespinzone,+130,0.13,0.299,0.16899999999999998,L.Nootbaar,St. Louis Cardinals,Miami Marlins,1.0,0.46875,0,0.6,1,0.6,1
25,N.Arenado o0.5 RBI,Thespinzone,+150,0.15,0.375,0.225,N.Arenado,St. Louis Cardinals,Miami Marlins,1.0,0.4222222222222222,0,0.6,1,0.6,1
27,I.Herrera o0.5 Runs Scored,Thespinzone,+210,0.1,0.31000000000000005,0.21000000000000005,I.Herrera,St. Louis Cardinals,Miami Marlins,1.0,0.75,1,0.75,1,0.75,1
28,S.Alcantara u5.5 Ks,cowhitchurch,-140,0.7,1.2,0.5,S.Alcantara,Miami Marlins,St. Louis Cardinals,0.0,0.631578947368421,1,0.6,1,0.7,1
29,S.Alcantara u5.5 Ks,SBK5065,-125,0.63,1.1340000000000001,0.5040000000000001,S.Alcantara,Miami Marlins,St. Louis Cardinals,0.0,0.631578947368421,1,0.6,1,0.7,1
30,S.Alcantara u5.5 Ks,AnthonyDabbundo,-140,1.4,2.4,1.0,S.Alcantara,Miami Marlins,St. Louis Cardinals,0.0,0.631578947368421,1,0.6,1,0.7,1
31,S.Alcantara u5.5 Ks,The_Oddsmaker,-140,1.4,2.4,1.0,S.Alcantara,Miami Marlins,St. Louis Cardinals,0.0,0.631578947368421,1,0.6,1,0.7,1
32,S.Alcantara u5.5 Ks,PropBetGuy,-108,1.08,2.08,1.0,S.Alcantara,Miami Marlins,St. Louis Cardinals,0.0,0.631578947368421,1,0.6,1,0.7,1
33,R.Hill u4.5 Ks,The_Oddsmaker,-142,1.0,1.704225352112676,0.704225352112676,R.Hill,Pittsburgh Pirates,Cleveland Guardians,1.0,0.42105263157894735,0,0.8,1,0.5,0
34,H.Davis o0.5 Runs Scored,Thespinzone,+140,0.15,0.36,0.21,H.Davis,Pittsburgh Pirates,Cleveland Guardians,1.0,0.52,1,0.6,1,0.5,0
