Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
S.Ohtani o1.5 Total Bases,theprophunter0_,-120,1.2,S.Ohtani,2.2,1.0000000000000002,Los Angeles Dodgers,Seattle Mariners,1,0.5573770491803278,1,0.6,1,0.6,1
L.Gilbert o5.5 Ks,KyleJustBets,-125,1.0,L.Gilbert,1.8,0.8,Seattle Mariners,Los Angeles Dodgers,0,0.7307692307692307,1,0.8,1,0.8,1
M.Betts o0.5 HR,gneiffer07,600,0.25,M.Betts,1.75,1.5,Los Angeles Dodgers,Seattle Mariners,1,0.13924050632911392,0,0.2,0,0.2,0
B.Rooker o1.5 Total Bases,theprophunter0_,130,1.0,B.Rooker,2.3,1.2999999999999998,Oakland Athletics,Tampa Bay Rays,1,0.4954128440366973,0,0.4,0,0.4,0
B.Rooker o1.5 Hits + Runs + RBIs,theprophunter0_,100,0.5,B.Rooker,1.0,0.5,Oakland Athletics,Tampa Bay Rays,1,0.5688073394495413,1,0.4,0,0.6,1
A.Judge o1.5 Total Bases,theprophunter0_,-120,1.2,A.Judge,2.2,1.0000000000000002,New York Yankees,Cleveland Guardians,1,0.5241935483870968,1,0.8,1,0.8,1
A.Judge o1.5 Total Bases,Proptology,-115,2.3,A.Judge,4.299999999999999,1.9999999999999991,New York Yankees,Cleveland Guardians,1,0.5241935483870968,1,0.8,1,0.8,1
J.Noel o0.5 HR,charliedisturco,370,0.1,J.Noel,0.47,0.37,Cleveland Guardians,New York Yankees,0,0.25,0,0.0,0,0.2,0
J.Soto o0.5 HR,charliedisturco,350,0.1,J.Soto,0.45,0.35,New York Yankees,Cleveland Guardians,1,0.22131147540983606,0,0.4,0,0.4,0
G.Torres o0.5 HR,charliedisturco,525,0.1,G.Torres,0.625,0.525,New York Yankees,Cleveland Guardians,1,0.08403361344537816,0,0.0,0,0.0,0
J.Ramirez o0.5 HR,charliedisturco,390,0.1,J.Ramirez,0.49,0.39,Cleveland Guardians,New York Yankees,0,0.256198347107438,0,0.2,0,0.2,0
N.Cortes u5.5 Ks,PlayerPropSavant,-160,1.6,N.Cortes,2.6,1.0,New York Yankees,Cleveland Guardians,1,0.52,1,0.6,1,0.5,0
J.Pederson o1.5 Total Bases,theprophunter0_,110,1.0,J.Pederson,2.1,1.1,Arizona Diamondbacks,Miami Marlins,0,0.36538461538461536,0,0.4,0,0.3,0
J.Burger o1.5 Total Bases,theprophunter0_,-115,1.15,J.Burger,2.1499999999999995,0.9999999999999996,Miami Marlins,Arizona Diamondbacks,1,0.4411764705882353,0,0.6,1,0.8,1
J.Burger o3.5 Total Bases,theprophunter0_,230,0.43,J.Burger,1.4189999999999998,0.989,Miami Marlins,Arizona Diamondbacks,1,0.23529411764705882,0,0.2,0,0.5,0
J.Montgomery o4.5 Ks,charliedisturco,-110,0.55,J.Montgomery,1.05,0.5,Arizona Diamondbacks,Miami Marlins,0,0.21052631578947367,0,0.2,0,0.3,0
J.Montgomery o5.5 Ks,charliedisturco,200,0.25,J.Montgomery,0.75,0.5,Arizona Diamondbacks,Miami Marlins,0,0.15789473684210525,0,0.2,0,0.2,0
J.Montgomery o4.5 Ks,PropBetGuy,-110,1.1,J.Montgomery,2.1,1.0,Arizona Diamondbacks,Miami Marlins,0,0.21052631578947367,0,0.2,0,0.3,0
J.Montgomery u2.5 BB,SBK5065,-185,1.0,J.Montgomery,1.5405405405405406,0.5405405405405406,Arizona Diamondbacks,Miami Marlins,0,0.631578947368421,1,0.4,0,0.7,1
B.Harper o1.5 Hits + Runs + RBIs,Proptology,-120,1.2,B.Harper,2.2,1.0000000000000002,Philadelphia Phillies,Atlanta Braves,0,0.5321100917431193,1,0.4,0,0.5,0
N.Castellanos o1.5 Total Bases,therocketplays,115,1.0,N.Castellanos,2.15,1.15,Philadelphia Phillies,Atlanta Braves,0,0.36,0,0.4,0,0.4,0
A.Nola u18.5 Outs,SBK5065,-204,1.02,A.Nola,1.52,0.5,Philadelphia Phillies,Atlanta Braves,0,0.5833333333333334,1,0.8,1,0.7,1
M.Machado o2.5 Hits + Runs + RBIs,Proptology,120,1.0,M.Machado,2.2,1.2000000000000002,San Diego Padres,Minnesota Twins,1,0.35344827586206895,0,0.6,1,0.5,0
R.Jeffers o0.5 HR,gneiffer07,625,0.25,R.Jeffers,1.8125,1.5625,Minnesota Twins,San Diego Padres,0,0.19791666666666666,0,0.6,1,0.4,0
Y.Rodriguez u15.5 Outs,SBK5065,-174,1.0,Y.Rodriguez,1.5747126436781609,0.5747126436781609,Toronto Blue Jays,Cincinnati Reds,1,0.75,1,0.8,1,0.7,1
N.Martinez u16.5 Outs,PlayerPropSavant,-110,1.0,N.Martinez,1.9090909090909087,0.9090909090909092,Cincinnati Reds,Toronto Blue Jays,0,0.625,1,0.6,1,0.625,1
